Block = 4839878,Price = 0.483942
Address,XP
0xf614ddc260c8e72efd5aec92e3a4e3ecc4c2a116,15
0x3294e1647883fad822345aab250deb20d5038188,30
0x47f4a740428e6c09f40531a79ce7fc5aa70f8298,5
0xab2c8781e17ecc41a954dd2c43becfef106a3f8b,5
0x0664c88ebd41f121222f884f526fa21775b59afc,10
0x5b2e49adf2775acbe748e18f60366f1c12975973,10
0x2aced78228363f358663a4722f6a76838606c390,5
0x4a28e5c87d6f21538b8c5857bc71b397cd2896e5,10
0x0d6bf341aa316e1c5efe231d95884021b477afd2,15
0x7b56ab3b96b77f6eb53aefe088e2545b7374c9b8,5
0x29a687b240237c27cf1d1cc6ad8fe8d9bfd7c42d,50
0x3015d00743f7d3412c23f6ed9f6c08ab96a069ba,30
0x179c03e1e1384a9cee0c4d65a1b66e8e9a8642f6,30
0x339c4d0f0113896085c78275c64c90279cd17f76,5
0x06e207455cce81534f3432a078e4f471e60eb03c,5
0xcb0d3bb9dcdcdbc84701e81637356dd2185b3baf,30
0x0623a5e76f614915decf5262c1b71b0f71063fc3,30
0x815b6a9e13de7d98eae2b2a114115d346383d504,15
0x8c6587ab59f40cadb750b6c4f1922d9ff67aae36,5
0x8ad64822c4c202dd744b5de77ac25d30ce3b98b5,5
0x4fabde849f3d23fb952ec868df6ae0eb97961207,10
0xf6b48ccd62143b6dd3b04215347cdd38a06e6d3b,5
0xb3170704fb6459dbeb2c56fe3a959624a5198a89,30
0xc18ad66e31a644a3a7d54e475f5f5b4f3f9eba53,30
0xd8e2eb4d03913b3dcf7e5cad56cdf3d13e465baa,5
0xa567f9af8bd91f9b20fe95b6bade85593dbae252,5
0x36a746b0001510b54a091e729308771e5fb2e12b,80
0x667dfab405540a3c1c7b0a356881bf6c793f08d6,5
0x9ddcba52abbc64b00a717816a6dc41e7a45f0200,25
0x449ddc6231d1af99c966e2922ac70ad878083310,5
0x04273bb5834a2fb3e5e6b4b08c43e9e424be7281,5
0x898b42b3b205e3b352a8b67841e61f9d74692238,10
0xe04f44013d4cf0af6a6079ff919b02fd58c8ddfa,5
0x7a5fc61abb13901365e829bf805311b4aab51c66,5
0x4e6e7eb18d684f443ace8ce55e3713c3dad7c1b2,165
0x35dfdae573ad9099fb4c6d19e222848a2bfc00d6,5
0x6f66d5aa7a26aa1fb93cd4436880d1679efa885f,15
0x1f6776679f5a18a2b31a6a2503bca2e872d76f93,5
0xb207d34a81941bfa3c37fb865d4457988ccb27fa,5
0x1306bae12410d2371d3e36b978606e4171b0c3ab,5
0xe5288849d61bf5d894c8679af04bfa67968250ad,35
0xf5840629aaee9130af3e9c92962e10b7c3c5fa75,5
0x5d076c3c4f7bf2db6831c90fc8f1539e07ff71d1,5
0x0b3903f7b1c328800436bba85da0489210bec3f2,5
0xf87c56ebe182ac6866c5168fb24e1beea1ffaa63,5
0x425f1fe7febabdaf6453a51f986ecfb981baf2ba,30
0xd31e9a3e1321c89bb6b400eae70a507e49c1f4be,5
0x96396e120522bdbf7ac7d26468db6ddef28c6b9c,5
0xa899286161a5141e2b3075901899ab9cb8dd6770,30
0xf2e5d6e6e4aecfe0ec0fc7e46a1d430d71706b51,5
0xd4a3fa3ee381cbb8cbf88466f84e3e4197171b56,30
0x89c643277888fdd4f73d5fcb0d5d16e857c0adc5,10
0xf4e6300e480ed73764808538acc3257380360c77,5
