Block = 5747168,Price = 0.066700
Address,XP
0x1c041dc0ea476c4d4d87e76ce1a89dc4def02fd1,35
0x39ce004870283a3094b2c9d9e7c3327490fd9f34,280
0x383bfc1d3ca6925d5bdce6010d0255438dd96c3a,125
0xed11819fc61943ab7944ba944a104ad5c75af6b3,1335
0x7b9bb19911763a372e35f95d0e31031c0884b6ec,100
0x0d349331310abd72872da19cf4e4980a79105d49,1665
0xd915f417ccba5966dddba3135755c22b4f25fc5b,15
0x5503e1185c486c327b999b094b151474c1b9bb1f,1975
0x14a83cc134cb0c54d43982eadef35b63370653a2,25
0xca6ff42933c0c76e9ae059b495476fad3e366494,5
0x265169705a0bbb351f4f7fbf07b0d43ecb74a820,1335
0x6e92faa18fab7b8a2357cc78630fd73ea2a23e25,5
0x44a0ab343ba3c4d86e2eb7835ee995a22c6a72fb,65
