Block = 4379880,Price = 0.590943
Address,XP
0x67775a30ae470e2cb0854395f1f69401ac4c04c1,60
0x3f0f4263d475abb64e7bf9e38371ed54806ea9d2,32
0x1fe5844315ba92e86eb64c8317cdb2f11c8fe544,8
0x4f1fdb46d6b90b33896c79d390cc348ec8b73b39,28
0x4fc3318e7ccbf9ee4e10cdc6383d4cae81460ff4,8
0x39bda5095ed65f1ad5b9d6ece617ca0ec09f6c33,4
0x3893253505f608f7f64c083513c5a50bf0da17c1,24
0x5a01d566bdec952efec489c16c36611da26eb0fa,4
0xa8cc3f0f9630864b4482ff3e1dbda71a0aaec577,8
0xdc9528e73f770c93ed7895a2928d52ea1d18e1a7,4
0x87bd379f53e2e42bccc7d4d0622ff6a1c17605da,8
0x8008c76d9d9484b6af5d53b7426b1c84a63dbfe4,12
0xc99f3964b77af2a985978970c1d1fea015d2420f,4
0xcb6ee005a3a65eccd270aecf0c42d16e3713c4a5,20
0x40402871c5bfe08eb2f5cb8b3f022b7f2a31e46d,796
0x82fabeb88312f3c56c4ea7e7cf7a8550ac94f8a3,16
0x4cd8b8ae3f537181982494e405a74637dc2244a4,4
0x77f92039f461e4056e6b79ed80254b563b4812b9,4
0x62050a8ff39250a6b6e35938a2537524fcaacd58,88
0xfe8a14b191fcee29abe0050839f4de4333962353,4
0x09ecf5637e6ac1cc887350922f616e3d03ec1c06,16
0xd652e226630103aabc9c48eb2881fa37c99d2c53,20
0x53120b12b3d2fbbf6af3e00297f2c2573d84f599,108
0xe836ea65179559e35d5957e679f1ad26fb075c47,4
0x1d67b326586a9b1bd46793921c785258eff48ac8,4
0x4bb300febe9ebe70c80058e3c14d1c458d7658b0,72
0xbcaa74f9ac5f33d7e5a04edbb5aaf223195b1e81,4
0x6f8949bd9379944c2b48fe775e2b422015a39150,40
0x24af57fcc2873e6d2f41171d4a40c2ca04491566,40
0x6fb1a47ba75ed29af13ab62b1c0f20a0b2d640f7,12
0xc0dbc44db7d9f07b919932fb9415d11030640931,100
0xc846b7d5ad79060758f9ed2fe6ba5dd68d00c00f,8
0x653ad60db5f5236bc638e1daef879d0c89fa99b3,32
0x4a511876050a5e91faf8621b0167614f0fb39d7c,16
0xec66b606c6df9a7277b68f90c74bd7c64255d86f,56
0xeafa7fcbcc347386c115eb1ac0f68e0aa0d67a22,12
0x00446f19566fd3b1291ce83e43fef3be8ae6753b,20
0xa25207bb8f8ec2423e2ddf2686a0cd2048352f3e,20
0xd265c6f6ca55a020fb65d033fefed9d969158da6,156
0xb25c6f79a3ca7d11274d42dd75d89eed9f30acaf,4
0x2bcd8898a678050efa5f41f4c6012045dee1b5c3,20
0x28f8a2bfe15b56e32d9b769e2e92c87998ccd3bc,56
0x973d56312b92f446c053849416be13670d05e525,4
0xdbc43ee13c8f1b655b3e96e260dec84b83f73e4c,8
0xf3d7619f44357349cc67b3293c967789f0c11ca3,24
0xab6d96eb0fc995de2f2b0402d8d30f6383fa1db0,60
0xde8e5b8dd62861703f5e1376d82c67508d015508,28
0x83df0a0323512ef36c83f17b9142b7ef2467ac0f,108
0xb3623d62ff30fadb5b2e127c07cab0d1b0808276,8
0x5cc84b2910eb23551abb9da058af67a9c2abb440,20
0x2862ddf66ecebb9222f363fe96e822a43aba335d,4
0x7444706f5bde57ad505c43af95a99e9d4b063083,24
0x04273bb5834a2fb3e5e6b4b08c43e9e424be7281,52
0x2236b805cc6aa7a9f692fd20d470f08919813d3f,24
0x77d197e2df8973c70ccba5d99c2df36cb10d5a2c,12
0x6c35d2a2132cbc04e7329bb647252ce41fd44bcd,4
0x3c30765cae26cc563411e08f3084387bdd557e74,4
0xc1e475c360f9cf655b066171f70e72ea494e6b22,28
0x91857e7b0d44cc965156d915a275d3bc3db9539b,8
0x0fe07c1b7dab02295538502128f80b840d060b65,24
0xe662b62c673b3b346894fce18748513248396ce9,92
0x90f39dc954dc5e3ba6cd05b7126fc3e695ba6919,48
0x094e59706d52e2f95a57e7d399871522a4037923,4
0xd781ba948190d14c14c3153ad77ef6299ac6e292,4
0xe91f26a8ba33e9cb1271c3b6bb1b164b598899c1,196
0x22fda97e71ebe36fa494dd0aef462d4a33f7a702,20
0x23e836e74198b11dfe646890676c0717641af5e0,16
0x6d11456485122874b0b579697c8c18e7697d7fcc,4
0x908eea6ac3816466f46957cba1e46da54de82706,12
0x479c231019dd7be36e198b91cd2631e7768aee50,352
0xf87c56ebe182ac6866c5168fb24e1beea1ffaa63,84
0xc6734e89542e3804ba4d401dd9f17d8ad8decc0e,20
0x5f64e6ae87c8a35d57f045129f1c90b2aad4d9a6,4
0xe5c853441f1336ce456bfb2cc459cdaf6531c2f1,4
