Ambassadors,Early Support
Address,XP
0xF6aef5CA215999e975Cdad8B4113509C65106185,1500
0x29A687b240237C27cf1D1cc6ad8Fe8d9bfd7c42d,1000
0xA27A30Aa647F9ecacDA7c14E0f0B490E0bD9d63f,750
0x38a0d16140AA1D7d7A7399506d56Ee754170f473,750
0x8989c44Ad5da6A79DaAB1BD4c98548e65216AF82,1500
0x94d033944B4526Ef8F865282efD0778224b57E6B,2500
0x037440C9C844C77A9042B2C504a3a6373F6BBb6F,500
0x000A6D295Ac3527D8fB313b3E6a4F5eD76a78a9c,500
0x3253042Ab0DC1425CF3603a69C08cC5EFA73Fb77,500
0x61eBc8d13931AeE30B3009826aB3354Cd52e6e30,5000
0xD2A5De3319D0D209E4aBAc8d1D06062a90EB1229,500
