Zealy,Campaign = 1
Address,XP
0x35434690bd439c8936e94B148246AE208Dfc9851,4230
0xa3A9f84ce5569dFabED9a65f2E3Db90358BF7F06,4010
0x733829e5c4b98321636E2fE5be50b7014a465c83,920
0xa27a30aa647f9ecacda7c14e0f0b490e0bd9d63f,820
0x52b231a6e448cab9bb88b4b7950482073e1c7e17,550
0xb182F7E8D521aD5f8Ec3f9dFCA594503463AB052,520
0xF7F4275e571e2BC875A77c711E4C1762ca830549,500
0xa33c01d357a567de2d0128a9fd72f4b16ac40095,430
0x7EBfa3dBDa499D2E4766a2Aac720539b43ec3C83,370
0x278b8d88f786ee93468568Ac60d841287c3A9Dcc,350
0xB9D7f2E1F18A4CC4cEcdCeE1F7aB75f3d3c00A5e,340
0x8f38FDEeb0E909223CfcD0fCe7c422A455F8225D,340
0x202c8b326cA75bf737fD709b524A1333681f0480,330
0x099532F577a1e474a30D198551936c8A075EFbE1,330
0xa799cF9a9242eB89d77a61571fb14502F6Ba453C,330
0x4F69627d0c5f58EEB45367c47A22b7c41eaEcC5f,330
0xef0F5E03bB3466B52be4fC4b4909e2a54D91D03B,310
0x6045c8A3EB7D6B16d637B404988A0d36Eb1EE47e,280
0x99Daa4Dd5E56605cBb06B306ec3a288A6c446eA1,280
0x78aaB9a3C6AB23e9d62e429F817a312B8BF98649,270
0xC1b0a6C6656717A6A7f5C5fCe406a2A9274E3694,270
0x664701002F1A8602091Cd0c7cb7579bE928FEe7C,270
0xD766022C9344cF6deB9BB8AD6091EE8f84c1AD8e,260
0x2A250C6A9bec252BB5f8525f5941ED3540cE195D,260
0x9f8b0D17808762194558c2502B354a3168133671,260
0xfC2594355257b33B3Ac5c49C8eEE3784BD4b4aBC,260
0xDfa881A7085F72350B61bc7F3eCAfdf3d34f650E,260
0x34c734BF1C4EfC47815fB9e11D8a63a3D6067a3a,260
0x91099Defee90EB6c5cD305A0198d85EeB1bcf587,250
0x934398ad5879bfC8Ff42f8BD2a153B4C055e0AC8,250
0x8F759C563ceE7C5890dd635b0139090386436D34,250
0x0981A2C79c64509cfc9Ae9bd8Daf9b614393B11b,210
0xbB1a3dF1Ec943585dcb9e30c021b481f326477a3,200
0x037440C9C844C77A9042B2C504a3a6373F6BBb6F,200
0x80B828178C242cA5583d138F0a9E8038dDC1a488,190
0x06FC800322992beB4d6647093C5E8E340209437d,190
0x53120b12b3D2FBBF6aF3E00297f2C2573D84F599,190
0xbFB6fBFb6B883Fe9a65dD80A965Ad7aB7631d35c,190
0xB7836de50591D621ca83595071178dDBF9F87722,180
0xFA8BFf11FA8A8b688d862B1421e64CfE67cd1918,160
0x7152Cd3891d5B80CA162BBb807e2d4310c084207,160
0xddBbd3e4a4624396785Be7927a5b272b52b883f7,150
0x2b2a1EE80e7556415bcc2Ee78A52A5A1203C44Df,150
0x504c584a69c580c2e8261d7d1c32dd09e8dc58af,140
0x5c8FE62621a91b9Ee8Db08CFA14DA0c13758219D,140
0x160158c34AE52DbE9f723B4a34A328bF49292b29,130
0x9d4752D42dFf03eb7A14BA60f812ADa4A00Eacf0,130
0xF7b076701d626f7681ADA13957DB88Fc6f9b53AB,130
0x802b8F276f892f7122Dcf6D921737196c70D39BA,130
0x6dbdc76ba0c9bc3f4ea75bdbf5dffd3622a94b0d,130
0x6c9E02eAD987B05835332cf3381bfE6D13c6b27A,120
0xf8CD4e2fa675508Ea59e0A38f12Dd9779618F599,120
0x43580B19B37502e5b0b87Ea10D29c46365eD8998,120
0x2b13347d35DC9fedF232B3198166Ee7bCc5ef0a4,120
0x191Bbfa8400695Cd59209321F6069821bF1C33b7,120
0xa4aE92E0D693a2da405fe8E3Db5bb62AC9686935,120
0x816F021EB0AAF3e0F8cDEeEbfE90037Aa8D4D392,110
0x9A251bB21385CfF809bB88f62E2d3cB2462675B5,110
0x0d07C755c3848a62778A81EE19aefc318d867BfA,110
0x38321a377d38748d0Bf7cd2106B0DaC67016Ad4e,100
0xecf751b2ea4b2fccf52f723e9512f6c2b9e69b9d,100
0x76950fD37e34102D432f036aAbC05C58e790673d,100
0x57884eA882f46229Ba1bd71EA69207BD6E6a9Ce9,100
0xc6A8cFb422A63BB09Cd56B9Bda04869eFc578723,100
0xf1EdF26139072eb6aF2f9073F974D5079ecBB205,100
0x9308E16382b7952eCA90E4C7D67Ba3e478069770,100
0x7D4ce9BDCfE532C3ffD1037c6BA4B7E52b3954d0,100
0x99E366f744a38E29Cc684B29d0D8864033d58B89,100
